flight_id,date,route,aircraft_type,planned_fuel_kg,actual_fuel_kg,duration_min,passengers,cargo_weight_kg,catering_weight_kg,wind_speed_kts,wind_direction,temperature_c,visibility,weather_conditions,departure_delay_min,taxi_time_min
2985552297862820,2026-02-12 08:00,MAN-FAO,737-800,5404,5557,169,155,2009,135,1,NE,-2,6,Overcast,0,24
5972339811598312,2026-01-19 23:30,LBA-ALC,757-200,4632,4514,160,221,1618,163,6,SW,7,7,Clear,0,19
6719374341079667,2025-12-30 16:15,LBA-TFS,737-800,6196,6677,232,156,1578,127,40,SW,-5,8,Windy,0,9
8968518948004304,2025-12-14 22:15,MAN-ALC,737-800,4970,4747,153,153,1269,157,20,W,2,4,Cloudy,0,22
7129230970992268,2026-02-13 19:15,MAN-FAO,737-800,5874,5911,188,177,1995,152,14,E,17,10,Clear,0,12
7504027691763660,2026-01-16 07:45,BHX-TFS,757-200,7041,6761,249,200,1669,195,34,S,34,8,Clear,0,7
1521740770656055,2025-12-26 21:15,EMA-ALC,737 MAX 8,5005,5279,170,162,1113,138,10,N,23,8,Light Rain,18,16
3807691902964454,2025-12-23 23:00,LBA-TFS,757-200,5970,6427,251,208,1725,200,35,E,1,9,Cloudy,9,13
5372223745990823,2026-01-13 16:45,EMA-ALC,737-800,4930,8152,157,164,814,119,40,N,-1,4,Clear,0,15
2725688862732548,2025-12-20 22:15,NCL-PMI,757-200,5484,5754,167,206,2965,173,26,NW,31,3,Clear,1,10
8788078000776321,2025-12-17 22:45,LBA-FAO,737-800,4936,4738,173,178,2454,186,35,NE,-12,3,Clear,0,22
7737163271727691,2026-01-13 06:15,BHX-TFS,737-800,6771,7233,247,168,1666,164,35,NW,-6,6,Windy,0,24
6921090959463139,2026-01-02 06:00,NCL-PMI,737-800,5161,4795,176,161,940,151,43,SE,10,4,Overcast,0,9
4143593651476030,2026-02-05 23:30,MAN-FAO,737-800,5621,5386,187,169,1736,140,4,N,14,4,Clear,0,11
3453092713590570,2025-12-01 12:30,MAN-AGP,737-800,5160,4997,177,183,816,177,35,S,27,4,Cloudy,5,24
